,humidity,temperature,timestamp
631,56.0,20.67,2023-05-01 00:10:00
632,56.0,20.71,2023-05-01 00:20:00
633,56.0,20.7,2023-05-01 00:30:00
634,56.0,20.63,2023-05-01 00:40:00
635,56.0,20.64,2023-05-01 00:50:00
636,56.0,20.64,2023-05-01 01:00:00
637,56.0,20.68,2023-05-01 01:10:00
638,56.0,20.63,2023-05-01 01:20:00
639,56.0,20.64,2023-05-01 01:30:00
640,56.0,20.61,2023-05-01 01:40:00
641,56.0,20.63,2023-05-01 01:50:00
642,56.0,20.65,2023-05-01 02:00:00
643,56.0,20.64,2023-05-01 02:10:00
644,56.0,20.71,2023-05-01 02:20:00
645,56.0,20.52,2023-05-01 02:30:00
646,57.0,20.67,2023-05-01 02:40:00
647,56.0,20.54,2023-05-01 02:50:00
648,56.0,20.55,2023-05-01 03:00:00
649,56.0,20.57,2023-05-01 03:20:00
650,56.0,20.52,2023-05-01 03:30:00
651,56.0,20.51,2023-05-01 03:40:00
652,57.0,20.64,2023-05-01 03:50:00
653,57.0,20.57,2023-05-01 04:20:00
654,57.0,20.54,2023-05-01 04:30:00
655,57.0,20.54,2023-05-01 04:40:00
656,57.0,20.52,2023-05-01 04:50:00
657,57.0,20.54,2023-05-01 05:00:00
658,57.0,20.55,2023-05-01 05:10:00
659,57.0,20.57,2023-05-01 05:20:00
660,57.0,20.46,2023-05-01 05:30:00
661,57.0,20.47,2023-05-01 05:40:00
662,57.0,20.51,2023-05-01 05:50:00
663,57.0,20.5,2023-05-01 06:00:00
664,57.0,20.47,2023-05-01 06:10:00
665,57.0,20.51,2023-05-01 06:20:00
666,56.0,20.51,2023-05-01 06:40:00
667,56.0,20.52,2023-05-01 06:50:00
668,56.0,20.48,2023-05-01 07:00:00
669,56.0,20.46,2023-05-01 07:10:00
670,56.0,20.38,2023-05-01 07:20:00
671,56.0,20.44,2023-05-01 07:30:00
672,56.0,20.51,2023-05-01 07:50:00
673,56.0,20.51,2023-05-01 08:00:00
674,57.0,20.44,2023-05-01 08:10:00
675,56.0,20.46,2023-05-01 08:20:00
676,57.0,20.48,2023-05-01 08:30:00
677,57.0,20.46,2023-05-01 08:40:00
678,57.0,20.47,2023-05-01 08:50:00
679,56.0,20.44,2023-05-01 09:00:00
680,56.0,20.52,2023-05-01 09:10:00
681,56.0,20.54,2023-05-01 09:20:00
682,56.0,20.47,2023-05-01 09:30:00
683,56.0,20.48,2023-05-01 09:40:00
684,56.0,20.46,2023-05-01 09:50:00
685,56.0,20.59,2023-05-01 10:00:00
686,56.0,20.58,2023-05-01 10:10:00
687,56.0,20.54,2023-05-01 10:20:00
688,56.0,20.64,2023-05-01 10:30:00
689,56.0,20.55,2023-05-01 10:40:00
690,56.0,20.65,2023-05-01 10:50:00
691,56.0,20.68,2023-05-01 11:00:00
692,57.0,20.64,2023-05-01 11:10:00
693,57.0,20.61,2023-05-01 11:20:00
694,57.0,20.59,2023-05-01 11:30:00
695,57.0,20.64,2023-05-01 11:40:00
696,57.0,20.68,2023-05-01 11:50:00
697,57.0,20.68,2023-05-01 12:00:00
698,57.0,20.74,2023-05-01 12:10:00
699,57.0,20.71,2023-05-01 12:20:00
700,57.0,20.68,2023-05-01 12:30:00
701,57.0,20.82,2023-05-01 12:40:00
702,57.0,20.79,2023-05-01 12:50:00
703,57.0,20.78,2023-05-01 13:00:00
704,57.0,20.71,2023-05-01 13:10:00
705,57.0,20.85,2023-05-01 13:20:00
706,56.0,20.79,2023-05-01 13:30:00
707,56.0,20.81,2023-05-01 13:40:00
708,56.0,20.79,2023-05-01 13:50:00
709,56.0,20.78,2023-05-01 14:00:00
710,56.0,20.81,2023-05-01 14:10:00
711,57.0,20.91,2023-05-01 14:20:00
712,56.0,20.87,2023-05-01 14:30:00
713,56.0,20.87,2023-05-01 14:40:00
714,57.0,20.88,2023-05-01 14:50:00
715,57.0,20.99,2023-05-01 15:00:00
716,57.0,20.91,2023-05-01 15:10:00
717,57.0,20.89,2023-05-01 15:20:00
718,57.0,20.94,2023-05-01 15:30:00
719,56.0,20.89,2023-05-01 15:50:00
720,56.0,20.95,2023-05-01 16:00:00
721,56.0,20.98,2023-05-01 16:10:00
722,56.0,20.94,2023-05-01 16:20:00
723,56.0,20.95,2023-05-01 16:30:00
724,56.0,21.03,2023-05-01 16:50:00
725,56.0,21.02,2023-05-01 17:00:00
726,56.0,20.98,2023-05-01 17:10:00
727,56.0,21.06,2023-05-01 17:20:00
728,56.0,21.15,2023-05-01 17:30:00
729,56.0,21.15,2023-05-01 17:40:00
730,56.0,21.19,2023-05-01 17:50:00
731,56.0,21.32,2023-05-01 18:00:00
732,56.0,21.22,2023-05-01 18:10:00
733,56.0,21.28,2023-05-01 18:20:00
734,56.0,21.29,2023-05-01 18:30:00
735,56.0,21.25,2023-05-01 18:40:00
736,56.0,21.32,2023-05-01 18:50:00
737,56.0,21.19,2023-05-01 19:00:00
738,56.0,21.37,2023-05-01 19:10:00
739,56.0,21.35,2023-05-01 19:20:00
740,56.0,21.36,2023-05-01 19:30:00
741,56.0,21.28,2023-05-01 19:40:00
