,humidity,temp,timestamp
20,56.00,17.83,2023-04-28 08:24:58.170520
805,56.00,17.85,2023-04-28 08:26:15.786048
884,56.00,17.85,2023-04-28 08:27:35.117760
43,56.00,17.88,2023-04-28 08:31:49.965333
3734,56.00,17.88,2023-04-28 09:18:11.133661
2967,56.00,17.97,2023-04-28 09:20:26.539348
175,56.00,17.92,2023-04-28 09:29:59.475222
3682,56.00,17.99,2023-04-28 09:38:04.099136
1647,56.00,17.95,2023-04-28 09:39:04.530228
1419,56.00,18.01,2023-04-28 09:40:03.975330
3407,56.00,18.01,2023-04-28 09:45:04.423040
2667,56.00,17.97,2023-04-28 09:50:03.874968
3184,56.00,17.97,2023-04-28 09:55:04.334238
1692,56.00,17.95,2023-04-28 10:00:03.768821
410,56.00,17.97,2023-04-28 10:05:04.217834
3233,56.00,18.06,2023-04-28 10:10:03.714185
1823,56.00,18.15,2023-04-28 10:15:04.177926
52,56.00,18.06,2023-04-28 10:20:04.689139
3818,56.00,18.11,2023-04-28 10:25:04.127264
3943,56.00,18.16,2023-04-28 10:30:04.549841
53,56.00,18.05,2023-04-28 10:35:03.995703
885,56.00,18.11,2023-04-28 10:40:04.481400
2849,56.00,18.15,2023-04-28 10:45:04.017206
1348,56.00,18.09,2023-04-28 10:50:04.450673
2683,56.00,18.08,2023-04-28 10:55:03.889486
2838,56.00,18.19,2023-04-28 11:00:04.341219
1511,56.00,18.12,2023-04-28 11:05:03.792129
3430,56.00,18.05,2023-04-28 11:10:04.258401
3492,56.00,18.12,2023-04-28 11:15:03.706389
613,56.00,18.06,2023-04-28 11:20:04.172543
3199,56.00,18.19,2023-04-28 11:25:04.628235
1382,56.00,18.16,2023-04-28 11:30:04.054615
2098,56.00,18.15,2023-04-28 11:35:04.485838
3438,56.00,18.11,2023-04-28 11:40:03.948595
2682,56.00,18.22,2023-04-28 11:45:04.363950
1184,56.00,18.24,2023-04-28 11:50:03.790419
2404,56.00,18.11,2023-04-28 11:55:04.234532
3465,56.00,18.18,2023-04-28 12:00:04.683087
2633,56.00,18.15,2023-04-28 12:05:04.099304
1107,56.00,18.21,2023-04-28 12:10:04.574523
443,56.00,18.21,2023-04-28 12:15:04.036532
1319,56.00,18.22,2023-04-28 12:20:04.536431
3837,56.00,18.13,2023-04-28 12:25:03.966882
321,56.00,18.22,2023-04-28 12:30:04.421338
1187,56.00,18.39,2023-04-28 12:35:03.865196
2608,56.00,18.22,2023-04-28 12:40:04.323876
1869,56.00,18.32,2023-04-28 12:45:03.761798
437,56.00,18.26,2023-04-28 12:50:04.223700
2143,56.00,18.21,2023-04-28 12:55:03.719833
2951,56.00,18.19,2023-04-28 13:00:04.255033
1790,56.00,18.28,2023-04-28 13:05:04.676247
3710,56.00,18.28,2023-04-28 13:10:04.144290
3693,57.00,18.35,2023-04-28 13:15:04.567470
2592,57.00,18.29,2023-04-28 13:20:04.072266
1178,56.00,18.32,2023-04-28 13:25:04.520089
2245,57.00,18.39,2023-04-28 13:30:03.962130
2928,56.00,18.28,2023-04-28 13:35:04.408953
3605,57.00,18.39,2023-04-28 13:40:03.879441
653,57.00,18.34,2023-04-28 13:45:04.334817
2792,57.00,18.31,2023-04-28 13:50:03.752993
3780,57.00,18.42,2023-04-28 13:55:04.206228
1028,57.00,18.39,2023-04-28 14:00:04.682557
2230,57.00,18.31,2023-04-28 14:05:04.145020
874,57.00,18.39,2023-04-28 14:10:04.640400
1532,56.00,18.39,2023-04-28 14:15:04.113405
2638,57.00,18.38,2023-04-28 14:20:04.693200
218,57.00,18.46,2023-04-28 14:25:04.139982
3674,56.00,18.28,2023-04-28 14:30:04.608080
1751,56.00,18.40,2023-04-28 14:35:04.030554
1209,57.00,18.42,2023-04-28 14:40:04.499971
2084,56.00,18.45,2023-04-28 14:45:03.984039
1631,57.00,18.45,2023-04-28 14:50:04.434707
2924,56.00,18.47,2023-04-28 14:55:03.876233
2169,56.00,18.50,2023-04-28 15:00:04.355679
1500,56.00,18.52,2023-04-28 15:05:03.791047
1517,57.00,18.52,2023-04-28 15:10:04.253634
721,56.00,18.55,2023-04-28 15:15:04.678307
901,56.00,18.39,2023-04-28 15:20:04.197832
1491,56.00,18.43,2023-04-28 15:25:04.630024
2522,56.00,18.42,2023-04-28 15:30:04.080837
628,56.00,18.53,2023-04-28 15:35:04.563344
271,56.00,18.53,2023-04-28 15:40:04.039187
1031,56.00,18.62,2023-04-28 15:45:04.461718
3929,56.00,18.45,2023-04-28 15:50:03.922470
45,56.00,18.47,2023-04-28 15:55:04.357186
3914,56.00,18.49,2023-04-28 16:00:03.772307
58,56.00,18.46,2023-04-28 16:05:04.223889
1102,56.00,18.52,2023-04-28 16:10:03.682567
