,humidity,temperature,timestamp
333,56.0,20.67,2023-05-01 00:10:00
334,56.0,20.7,2023-05-01 00:30:00
335,56.0,20.63,2023-05-01 00:40:00
336,56.0,20.64,2023-05-01 00:50:00
337,56.0,20.64,2023-05-01 01:00:00
338,56.0,20.68,2023-05-01 01:10:00
339,56.0,20.61,2023-05-01 01:40:00
340,56.0,20.71,2023-05-01 02:20:00
341,56.0,20.54,2023-05-01 02:50:00
342,56.0,20.55,2023-05-01 03:00:00
343,56.0,20.57,2023-05-01 03:20:00
344,56.0,20.52,2023-05-01 03:30:00
345,57.0,20.54,2023-05-01 04:30:00
346,57.0,20.54,2023-05-01 04:40:00
347,57.0,20.52,2023-05-01 04:50:00
348,57.0,20.57,2023-05-01 05:20:00
349,57.0,20.46,2023-05-01 05:30:00
350,57.0,20.47,2023-05-01 05:40:00
351,57.0,20.5,2023-05-01 06:00:00
352,56.0,20.52,2023-05-01 06:50:00
353,56.0,20.48,2023-05-01 07:00:00
354,56.0,20.44,2023-05-01 07:30:00
355,57.0,20.44,2023-05-01 08:10:00
356,57.0,20.46,2023-05-01 08:40:00
357,56.0,20.54,2023-05-01 09:20:00
358,56.0,20.58,2023-05-01 10:10:00
359,56.0,20.55,2023-05-01 10:40:00
360,56.0,20.65,2023-05-01 10:50:00
361,57.0,20.64,2023-05-01 11:10:00
362,57.0,20.68,2023-05-01 12:00:00
363,57.0,20.74,2023-05-01 12:10:00
364,57.0,20.68,2023-05-01 12:30:00
365,57.0,20.79,2023-05-01 12:50:00
366,57.0,20.78,2023-05-01 13:00:00
367,57.0,20.71,2023-05-01 13:10:00
368,57.0,20.85,2023-05-01 13:20:00
369,56.0,20.79,2023-05-01 13:30:00
370,57.0,18.55,2023-05-01 13:40:00
371,57.0,18.45,2023-05-01 13:50:00
372,57.0,20.99,2023-05-01 15:00:00
373,57.0,20.91,2023-05-01 15:10:00
374,57.0,20.89,2023-05-01 15:20:00
375,56.0,20.89,2023-05-01 15:50:00
376,56.0,20.98,2023-05-01 16:10:00
377,56.0,20.94,2023-05-01 16:20:00
378,56.0,20.95,2023-05-01 16:30:00
379,56.0,21.03,2023-05-01 16:50:00
380,56.0,20.98,2023-05-01 17:10:00
381,56.0,21.06,2023-05-01 17:20:00
382,56.0,21.15,2023-05-01 17:40:00
383,56.0,21.28,2023-05-01 18:20:00
384,56.0,21.25,2023-05-01 18:40:00
385,56.0,21.32,2023-05-01 18:50:00
386,56.0,21.19,2023-05-01 19:00:00
387,56.0,21.37,2023-05-01 19:10:00
388,56.0,21.35,2023-05-01 19:20:00
389,56.0,21.28,2023-05-01 19:40:00
390,56.0,21.32,2023-05-01 19:50:00
391,56.0,21.26,2023-05-01 21:00:00
392,56.0,21.29,2023-05-01 21:30:00
393,56.0,21.28,2023-05-01 21:50:00
394,56.0,21.24,2023-05-01 22:10:00
395,56.0,21.35,2023-05-01 22:30:00
396,56.0,21.24,2023-05-01 22:50:00
397,56.0,21.15,2023-05-01 23:00:00
398,56.0,21.19,2023-05-01 23:10:00
399,56.0,21.25,2023-05-01 23:30:00
400,56.0,21.18,2023-05-01 23:50:00
401,56.0,21.15,2023-05-02 00:20:00
402,56.0,21.16,2023-05-02 00:30:00
403,56.0,21.12,2023-05-02 00:50:00
404,56.0,21.15,2023-05-02 01:00:00
405,56.0,21.08,2023-05-02 01:10:00
